name,web,logo
Alberta College of Art & Design,acad.ca/future-students/international -students,/imgs/icons/01_school_ACAD.jpg
Ambrose University ,ambrose.edu/enrolment/international -students,/imgs/icons/02_school_AMBROSE.jpg
Athabasca University ,athabascau.ca/students/starter/ prospectiveugrad/international.php,/imgs/icons/03_school_ATHABASCA.jpg
The Banff Centre,banffcentre.ca,/imgs/icons/04_school_BANFFC.jpg
Bow Valley College ,international.bowvalleycollege.ca ,/imgs/icons/05_school_BowValley.jpg
Burman University ,burmanu.ca/internationalstudents,/imgs/icons/06_school_BURMAN.jpg
Concordia University of Edmonton ,international.concordia.ab.ca,/imgs/icons/07_school_CONCORDIA.jpg
Grande Prairie Regional College ,gprc.ab.ca,/imgs/icons/08_school_GPRC.jpg
Keyano College ,keyano.ca/FutureStudents/ InternationalStudents,/imgs/icons/09_school_KEYANO.jpg
The King’s University ,kingsu.ca/international-students,/imgs/icons/09_school_KINGSUNI.jpg
Lakeland College,akelandcollege.ca/international,/imgs/icons/10_school_LAKELANDC.jpg
Lethbridge College ,lethbridgecollege.ca/international,/imgs/icons/11_school_LETBRIDGEC.jpg
MacEwan University ,macewan.ca/international,/imgs/icons/14_school_MACEWAN.jpg
Medicine Hat College ,mhc.ab.ca/InternationalStudents.aspx,/imgs/icons/13_school_MEDICINEHAT.jpg
Mount Royal University ,mtroyal.ca/InternationalStudents,/imgs/icons/12_school_MOUNTROYAL.jpg
Northern Alberta Institute of Technology (NAIT),nait.ca/international,/imgs/icons/15_school_NAIT.jpg
NorQuest College,norquest.ca/international,/imgs/icons/16_school_NORQUEST.jpg
Northern Lakes College ,northernlakescollege.ca/ student-services/international-students,/imgs/icons/17_school_NORTHERNLAKES.jpg
Olds College ,oldscollege.ca/international,/imgs/icons/18_school_OLDSCOLLEGE.jpg
Portage College,portagecollege.ca,/imgs/icons/19_school_PORTAGEC.jpg
Red Deer College ,rdc.ab.ca/future-students/international-students,/imgs/icons/20_school_RDC.jpg
Southern Alberta Institute of Technology (SAIT),sait.ca/international,/imgs/icons/21_school_SAIT.jpg
St. Mary's University ,stmu.ca/international-students,/imgs/icons/22_school_MARYSU.jpg
University of Alberta,studyincanada.ualberta.ca,/imgs/icons/22_school_UALBERTA.jpg
University of Calgary ,ucalgary.ca/uci,/imgs/icons/23_school_UCALGARY.jpg
University of Lethbridge,uleth.ca/international,/imgs/icons/24_school_ULETHBRIDGE.jpg
